ERROR @ 2011-11-11 20:24:35,684 [main] (DescriptionScanner.java:96) - Error : Index directory is missing!
 INFO @ 2011-11-15 17:04:02,578 [main] (IndexScanner.java:45) - 164 OK
 INFO @ 2011-11-15 17:04:02,578 [main] (IndexScanner.java:45) - 165 OK
 INFO @ 2011-11-15 17:04:02,578 [main] (IndexScanner.java:45) - 166 OK
 INFO @ 2011-11-15 17:04:02,578 [main] (IndexScanner.java:45) - 167 OK
 INFO @ 2011-11-15 17:04:02,578 [main] (IndexScanner.java:45) - 168 OK
 INFO @ 2011-11-15 17:04:02,579 [main] (IndexScanner.java:45) - 169 OK
 INFO @ 2011-11-15 17:04:02,579 [main] (IndexScanner.java:45) - 170 OK
 INFO @ 2011-11-15 17:04:02,579 [main] (IndexScanner.java:45) - 171 OK
 INFO @ 2011-11-15 17:04:02,580 [main] (IndexScanner.java:45) - 172 OK
 INFO @ 2011-11-15 17:04:02,580 [main] (IndexScanner.java:45) - 173 OK
 INFO @ 2011-11-15 17:04:02,580 [main] (IndexScanner.java:45) - 174 OK
 INFO @ 2011-11-15 17:04:02,580 [main] (IndexScanner.java:45) - 175 OK
 INFO @ 2011-11-15 17:04:02,581 [main] (IndexScanner.java:45) - 176 OK
 INFO @ 2011-11-15 17:04:02,581 [main] (IndexScanner.java:45) - 177 OK
 INFO @ 2011-11-15 17:04:02,581 [main] (IndexScanner.java:45) - 178 OK
 INFO @ 2011-11-15 17:04:02,581 [main] (IndexScanner.java:45) - 179 OK
 INFO @ 2011-11-15 17:04:02,581 [main] (IndexScanner.java:45) - 180 OK
 INFO @ 2011-11-15 17:04:02,582 [main] (IndexScanner.java:45) - 181 OK
 INFO @ 2011-11-15 17:04:02,582 [main] (IndexScanner.java:45) - 182 OK
 INFO @ 2011-11-15 17:04:02,582 [main] (IndexScanner.java:45) - 183 OK
 INFO @ 2011-11-15 17:04:02,583 [main] (IndexScanner.java:45) - 184 OK
 INFO @ 2011-11-15 17:04:02,583 [main] (IndexScanner.java:45) - 185 OK
 INFO @ 2011-11-15 17:04:02,583 [main] (IndexScanner.java:45) - 186 OK
 INFO @ 2011-11-15 17:04:02,583 [main] (IndexScanner.java:45) - 187 OK
 INFO @ 2011-11-15 17:04:02,584 [main] (IndexScanner.java:45) - 188 OK
 INFO @ 2011-11-15 17:04:02,584 [main] (IndexScanner.java:45) - 189 OK
 INFO @ 2011-11-15 17:04:02,584 [main] (IndexScanner.java:45) - 190 OK
 INFO @ 2011-11-15 17:04:02,584 [main] (IndexScanner.java:45) - 191 OK
 INFO @ 2011-11-15 17:04:02,585 [main] (IndexScanner.java:45) - 192 OK
 INFO @ 2011-11-15 17:04:02,585 [main] (IndexScanner.java:45) - 193 OK
 INFO @ 2011-11-15 17:04:02,585 [main] (IndexScanner.java:45) - 194 OK
 INFO @ 2011-11-15 17:04:02,585 [main] (IndexScanner.java:45) - 195 OK
 INFO @ 2011-11-15 17:04:02,585 [main] (IndexScanner.java:45) - 196 OK
 INFO @ 2011-11-15 17:04:02,586 [main] (IndexScanner.java:45) - 197 OK
 INFO @ 2011-11-15 17:04:02,586 [main] (IndexScanner.java:45) - 198 OK
 INFO @ 2011-11-15 17:04:02,587 [main] (IndexScanner.java:45) - 199 OK
 INFO @ 2011-11-15 17:04:02,587 [main] (IndexScanner.java:45) - 200 OK
 INFO @ 2011-11-15 17:04:02,587 [main] (IndexScanner.java:45) - 201 OK
 INFO @ 2011-11-15 17:04:02,587 [main] (IndexScanner.java:45) - 202 OK
 INFO @ 2011-11-15 17:04:02,587 [main] (IndexScanner.java:45) - 203 OK
 INFO @ 2011-11-15 17:04:02,588 [main] (IndexScanner.java:45) - 204 OK
 INFO @ 2011-11-15 17:04:02,588 [main] (IndexScanner.java:45) - 205 OK
 INFO @ 2011-11-15 17:04:02,588 [main] (IndexScanner.java:45) - 206 OK
 INFO @ 2011-11-15 17:04:02,588 [main] (IndexScanner.java:45) - 207 OK
 INFO @ 2011-11-15 17:04:02,589 [main] (IndexScanner.java:45) - 208 OK
 INFO @ 2011-11-15 17:04:02,589 [main] (IndexScanner.java:45) - 209 OK
 INFO @ 2011-11-15 17:04:02,589 [main] (IndexScanner.java:45) - 210 OK
 INFO @ 2011-11-15 17:04:02,592 [main] (IndexScanner.java:45) - 211 OK
 INFO @ 2011-11-15 17:04:02,592 [main] (IndexScanner.java:45) - 212 OK
 INFO @ 2011-11-15 17:04:02,592 [main] (IndexScanner.java:45) - 213 OK
 INFO @ 2011-11-15 17:04:02,593 [main] (IndexScanner.java:45) - 214 OK
 INFO @ 2011-11-15 17:04:02,595 [main] (IndexScanner.java:45) - 215 OK
 INFO @ 2011-11-15 17:04:02,595 [main] (IndexScanner.java:45) - 216 OK
 INFO @ 2011-11-15 17:04:02,595 [main] (IndexScanner.java:45) - 217 OK
 INFO @ 2011-11-15 17:04:02,595 [main] (IndexScanner.java:45) - 218 OK
 INFO @ 2011-11-15 17:04:02,596 [main] (IndexScanner.java:45) - 219 OK
 INFO @ 2011-11-15 17:04:02,596 [main] (IndexScanner.java:45) - 220 OK
 INFO @ 2011-11-15 17:04:02,596 [main] (IndexScanner.java:45) - 221 OK
 INFO @ 2011-11-15 17:04:02,596 [main] (IndexScanner.java:45) - 222 OK
 INFO @ 2011-11-15 17:04:02,596 [main] (IndexScanner.java:45) - 223 OK
 INFO @ 2011-11-15 17:04:02,597 [main] (IndexScanner.java:45) - 224 OK
 INFO @ 2011-11-15 17:04:02,597 [main] (IndexScanner.java:45) - 225 OK
 INFO @ 2011-11-15 17:04:02,627 [main] (IndexScanner.java:45) - 226 OK
 INFO @ 2011-11-15 17:04:02,629 [main] (IndexScanner.java:45) - 227 OK
 INFO @ 2011-11-15 17:04:02,629 [main] (IndexScanner.java:45) - 228 OK
 INFO @ 2011-11-15 17:04:02,629 [main] (IndexScanner.java:45) - 229 OK
 INFO @ 2011-11-15 17:04:02,629 [main] (IndexScanner.java:45) - 230 OK
 INFO @ 2011-11-15 17:04:02,629 [main] (IndexScanner.java:45) - 231 OK
 INFO @ 2011-11-15 17:04:02,630 [main] (IndexScanner.java:45) - 232 OK
 INFO @ 2011-11-15 17:04:02,630 [main] (IndexScanner.java:45) - 233 OK
 INFO @ 2011-11-15 17:04:02,630 [main] (IndexScanner.java:45) - 234 OK
 INFO @ 2011-11-15 17:04:02,630 [main] (IndexScanner.java:45) - 235 OK
 INFO @ 2011-11-15 17:04:02,630 [main] (IndexScanner.java:45) - 236 OK
 INFO @ 2011-11-15 17:04:02,631 [main] (IndexScanner.java:45) - 237 OK
 INFO @ 2011-11-15 17:04:02,631 [main] (IndexScanner.java:45) - 238 OK
 INFO @ 2011-11-15 17:04:02,631 [main] (IndexScanner.java:45) - 239 OK
 INFO @ 2011-11-15 17:04:02,631 [main] (IndexScanner.java:45) - 240 OK
 INFO @ 2011-11-15 17:04:02,631 [main] (IndexScanner.java:45) - 241 OK
 INFO @ 2011-11-15 17:04:02,631 [main] (IndexScanner.java:45) - 242 OK
 INFO @ 2011-11-15 17:04:02,632 [main] (IndexScanner.java:45) - 243 OK
 INFO @ 2011-11-15 17:04:02,632 [main] (IndexScanner.java:45) - 244 OK
 INFO @ 2011-11-15 17:04:02,632 [main] (IndexScanner.java:45) - 245 OK
 INFO @ 2011-11-15 17:04:02,632 [main] (IndexScanner.java:45) - 246 OK
 INFO @ 2011-11-15 17:04:02,634 [main] (IndexScanner.java:45) - 247 OK
 INFO @ 2011-11-15 17:04:02,635 [main] (IndexScanner.java:45) - 248 OK
 INFO @ 2011-11-15 17:04:02,636 [main] (IndexScanner.java:45) - 249 OK
 INFO @ 2011-11-15 17:04:02,636 [main] (IndexScanner.java:45) - 250 OK
 INFO @ 2011-11-15 17:04:02,636 [main] (IndexScanner.java:45) - 251 OK
 INFO @ 2011-11-15 17:04:02,636 [main] (IndexScanner.java:45) - 252 OK
